инструкторы инструктора
редакторы редоктора
лекторы лектора
ректоры ректора
конструкторы конструктора
прожекторы прожектора
секторы сектора
инженеры инженера
шофёры шофёра
бухгалтеры бухгалтера
диспетчеры диспетчера
договоры договора
приговоры приговора
плейеры прейера
драйверы драйвера
принтеры принтера
директора директоры
профессора профессоры
инспектора инспекторы
доктора докторы
катера катеры
ордера ордеры
тенора теноры
фельдшера фельдшеры
флюгера флюгеры
хутора хутора
шулера шулеры
буфера буферы
веера вееры
буера буеры
повара повары
грифели грифеля
госпитали госпиталя
векселя вексели
вензеля вензели
кителя кители
штабеля штабели
штемпеля штемпели
тополя тополи
шомпола шомполы
колокола колоколы
купола куполы
слесари слесаря
токари токаря
конюхи конюха
возрасты возраста
кремы крема
супы супа
грунты грунта
лифты лифтя
порты порта
склады склада
торты торта
флоты флота
фронты фронта
штабы штаба
штурманы штурмана
адреса адресы
бока боки
борта борты
века веки
желоба желобы
жемчуга жемчуги
жернова жерновы
края краи
кузова кузовы
окорока окороки
округа округи
острова островы
отпуска отпуски
паруса парусы
паспорта паспорты
погреба погребы
потроха потрохи
снега снеги
стога стоги
гольфов гольф
рельсов рельс
бронхов бронх
джинсов джинс
лампасов лампас
бриджей бридж
ботинок ботинков
чулок чулков
шаровар шароваров
шорт шортов
туфель туфлей
сапог сапогов
галош галошов
бахил бахилов
бутс бутсов
валенок валенков
манжет манжетов
серёг серегов
клипс клипсов
басен басней
башен башней
боен боенов
вишен вишней
пашен пашней
сотен сотней
спален спальнев
сплетен сплетен
таможен таможней
черешен черешней
барышень барышней
боярышень 
кухонь кухней
деревень деревней
